episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Average tardy jobs
45,-75.69,-77.18,-74.20,100,0,0,0,1.28
46,-80.22,-91.83,-68.60,100,0,0,0,1.12
47,-81.70,-91.41,-72.00,100,0,0,0,0.23
48,-87.96,-98.92,-77.00,100,0,0,0,0.23
49,-82.33,-88.67,-76.00,100,0,0,0,0.34
50,-80.81,-86.03,-75.60,100,0,0,0,0.39
51,-75.32,-83.23,-67.40,100,0,0,0,2.86
52,-80.45,-91.89,-69.00,100,0,0,0,0.88
53,-75.04,-78.08,-72.00,100,0,0,0,0.45
54,-79.80,-91.40,-68.20,100,0,0,0,2.02
55,-80.57,-91.74,-69.40,100,0,0,0,1.62
56,-82.41,-95.82,-69.00,100,0,0,0,2.79
57,-80.98,-93.36,-68.60,100,0,0,0,2.79
58,-83.79,-97.58,-70.00,100,0,0,0,1.07
59,-73.53,-78.66,-68.40,100,0,0,0,0.86
60,-81.33,-89.26,-73.40,100,0,0,0,0.94
61,-80.86,-89.91,-71.80,100,0,0,0,0.64
62,-87.28,-97.36,-77.20,100,0,0,0,0.23
63,-84.26,-94.72,-73.80,100,0,0,0,2.81
64,-82.66,-94.92,-70.40,100,0,0,0,1.15
65,-82.30,-95.01,-69.60,100,0,0,0,0.55
66,-76.09,-76.59,-75.60,100,0,0,0,0.55
67,-75.15,-75.11,-75.20,100,0,0,0,0.19
68,-80.86,-95.33,-66.40,100,0,0,0,1.48
69,-85.15,-99.69,-70.60,100,0,0,0,2.42
70,-77.62,-84.45,-70.80,100,0,0,0,1.42
71,-83.15,-88.70,-77.60,100,0,0,0,0.09
72,-82.24,-86.08,-78.40,100,0,0,0,0.10
73,-86.47,-98.74,-74.20,100,0,0,0,1.31
74,-74.48,-72.56,-76.40,100,0,0,0,0.47
75,-88.06,-95.72,-80.40,100,0,0,0,0.03
76,-79.68,-97.36,-62.00,100,0,0,0,3.07
77,-85.32,-91.64,-79.00,100,0,0,0,0.47
78,-75.06,-77.11,-73.00,100,0,0,0,1.74
79,-83.44,-97.07,-69.80,100,0,0,0,0.73
80,-80.12,-95.04,-65.20,100,0,0,0,6.46
81,-75.85,-75.10,-76.60,100,0,0,0,0.11
82,-75.81,-73.41,-78.20,100,0,0,0,0.08
83,-84.41,-99.42,-69.40,100,0,0,0,1.59
84,-82.31,-95.42,-69.20,100,0,0,0,0.40
85,-73.85,-75.50,-72.20,100,0,0,0,0.35
86,-70.25,-68.30,-72.20,100,0,0,0,0.16
87,-85.90,-95.60,-76.20,100,0,0,0,0.24
88,-79.16,-82.32,-76.00,100,0,0,0,0.54
89,-80.33,-93.25,-67.40,100,0,0,0,1.23
90,-72.98,-77.16,-68.80,100,0,0,0,0.96
91,-77.12,-80.23,-74.00,100,0,0,0,2.27
92,-84.20,-99.40,-69.00,100,0,0,0,2.16
93,-80.19,-94.79,-65.60,100,0,0,0,2.56
94,-79.67,-86.94,-72.40,100,0,0,0,1.14
95,-75.69,-79.99,-71.40,100,0,0,0,1.65
96,-85.84,-94.28,-77.40,100,0,0,0,0.26
97,-83.19,-96.18,-70.20,100,0,0,0,1.35
98,-86.67,-99.53,-73.80,100,0,0,0,0.22
99,-76.36,-77.93,-74.80,100,0,0,0,0.04
100,-79.04,-79.47,-78.60,100,0,0,0,0.08
101,-82.85,-98.90,-66.80,100,0,0,0,0.65
102,-84.57,-97.54,-71.60,100,0,0,0,1.13
103,-71.68,-79.56,-63.80,100,0,0,0,2.02
104,-83.60,-92.79,-74.40,100,0,0,0,0.05
105,-75.29,-84.18,-66.40,100,0,0,0,1.25
106,-77.05,-73.71,-80.40,100,0,0,0,0.11
107,-84.79,-98.39,-71.20,100,0,0,0,2.50
108,-83.94,-97.28,-70.60,100,0,0,0,1.17
109,-85.91,-97.82,-74.00,100,0,0,0,0.89
110,-75.68,-76.75,-74.60,100,0,0,0,0.55
111,-81.41,-92.02,-70.80,100,0,0,0,1.19
112,-76.35,-82.50,-70.20,100,0,0,0,1.49
113,-84.94,-99.48,-70.40,100,0,0,0,1.78
114,-77.44,-83.89,-71.00,100,0,0,0,0.44
115,-83.76,-96.12,-71.40,100,0,0,0,2.22
116,-72.84,-71.48,-74.20,100,0,0,0,0.01
117,-79.14,-86.08,-72.20,100,0,0,0,0.20
118,-74.31,-81.83,-66.80,100,0,0,0,2.72
119,-86.18,-97.96,-74.40,100,0,0,0,0.10
120,-86.23,-99.45,-73.00,100,0,0,0,0.47
121,-87.89,-98.79,-77.00,100,0,0,0,0.13
122,-82.77,-88.54,-77.00,100,0,0,0,0.58
123,-77.12,-84.43,-69.80,100,0,0,0,0.71
124,-86.58,-94.76,-78.40,100,0,0,0,0.34
125,-79.79,-86.98,-72.60,100,0,0,0,1.33
126,-77.55,-84.30,-70.80,100,0,0,0,1.48
127,-81.84,-93.68,-70.00,100,0,0,0,1.18
128,-73.81,-81.62,-66.00,100,0,0,0,1.24
129,-75.89,-80.78,-71.00,100,0,0,0,0.49
130,-84.76,-99.72,-69.80,100,0,0,0,6.08
131,-83.90,-97.81,-70.00,100,0,0,0,0.55
132,-71.53,-73.46,-69.60,100,0,0,0,1.69
133,-83.43,-92.06,-74.80,100,0,0,0,0.15
134,-80.73,-91.06,-70.40,100,0,0,0,1.38
135,-77.67,-91.94,-63.40,100,0,0,0,2.27
136,-80.57,-89.93,-71.20,100,0,0,0,0.70
137,-79.49,-93.38,-65.60,100,0,0,0,7.32
138,-73.80,-85.81,-61.80,100,0,0,0,5.21
139,-79.74,-88.68,-70.80,100,0,0,0,0.46
140,-73.40,-76.60,-70.20,100,0,0,0,0.80
141,-71.81,-66.82,-76.80,100,0,0,0,0.23
142,-79.44,-92.28,-66.60,100,0,0,0,0.53
143,-80.45,-85.11,-75.80,100,0,0,0,0.27
144,-74.63,-75.45,-73.80,100,0,0,0,0.64
145,-81.79,-90.99,-72.60,100,0,0,0,0.50
146,-85.49,-98.37,-72.60,100,0,0,0,0.70
147,-78.29,-83.18,-73.40,100,0,0,0,0.25
148,-86.26,-99.52,-73.00,100,0,0,0,1.65
149,-82.41,-96.42,-68.40,100,0,0,0,0.52
150,-85.59,-98.38,-72.80,100,0,0,0,1.21
151,-84.53,-99.47,-69.60,100,0,0,0,2.54
152,-84.76,-93.32,-76.20,100,0,0,0,1.11
153,-83.92,-92.05,-75.80,100,0,0,0,0.51
154,-85.55,-95.11,-76.00,100,0,0,0,0.57
155,-77.67,-87.35,-68.00,100,0,0,0,0.32
156,-82.76,-98.11,-67.40,100,0,0,0,0.80
157,-68.42,-63.25,-73.60,100,0,0,0,0.01
158,-80.27,-88.75,-71.80,100,0,0,0,0.37
159,-83.74,-98.68,-68.80,100,0,0,0,3.02
160,-78.50,-90.19,-66.80,100,0,0,0,2.31
161,-81.10,-92.39,-69.80,100,0,0,0,1.01
162,-79.91,-92.21,-67.60,100,0,0,0,0.33
163,-77.65,-88.29,-67.00,100,0,0,0,0.78
164,-77.50,-75.79,-79.20,100,0,0,0,0.04
165,-72.07,-72.75,-71.40,100,0,0,0,1.37
166,-82.90,-93.81,-72.00,100,0,0,0,0.04
167,-85.27,-88.35,-82.20,100,0,0,0,0.02
168,-78.20,-87.19,-69.20,100,0,0,0,2.83
169,-86.27,-92.34,-80.20,100,0,0,0,0.75
170,-78.76,-90.51,-67.00,100,0,0,0,1.86
171,-81.49,-83.98,-79.00,100,0,0,0,0.05
172,-87.99,-99.58,-76.40,100,0,0,0,0.25
173,-79.39,-86.79,-72.00,100,0,0,0,0.61
174,-80.86,-92.92,-68.80,100,0,0,0,1.37
175,-82.10,-94.00,-70.20,100,0,0,0,0.47
176,-88.59,-98.97,-78.20,100,0,0,0,0.66
177,-79.68,-84.75,-74.60,100,0,0,0,0.99
178,-81.24,-89.48,-73.00,100,0,0,0,0.90
179,-83.77,-97.73,-69.80,100,0,0,0,1.22
180,-81.97,-92.54,-71.40,100,0,0,0,0.43
181,-80.27,-87.55,-73.00,100,0,0,0,0.20
182,-79.47,-86.33,-72.60,100,0,0,0,0.60
183,-82.89,-96.19,-69.60,100,0,0,0,0.97
184,-72.61,-79.22,-66.00,100,0,0,0,1.70
185,-78.57,-87.53,-69.60,100,0,0,0,0.52
186,-85.34,-99.89,-70.80,100,0,0,0,1.43
187,-82.50,-99.01,-66.00,100,0,0,0,1.77
188,-88.37,-97.13,-79.60,100,0,0,0,0.32
189,-79.18,-88.16,-70.20,100,0,0,0,2.10
190,-86.43,-98.46,-74.40,100,0,0,0,1.05
191,-82.99,-93.38,-72.60,100,0,0,0,0.42
192,-83.40,-95.80,-71.00,100,0,0,0,0.84
193,-82.82,-97.25,-68.40,100,0,0,0,2.50
194,-83.28,-98.96,-67.60,100,0,0,0,1.98
195,-73.61,-74.01,-73.20,100,0,0,0,1.29
196,-81.21,-88.03,-74.40,100,0,0,0,0.25
197,-77.24,-91.29,-63.20,100,0,0,0,5.86
198,-89.60,-99.01,-80.20,100,0,0,0,0.16
199,-83.80,-93.01,-74.60,100,0,0,0,0.28
200,-83.55,-94.09,-73.00,100,0,0,0,0.96
201,-84.42,-93.85,-75.00,100,0,0,0,0.29
202,-79.69,-89.59,-69.80,100,0,0,0,1.62
203,-81.83,-93.66,-70.00,100,0,0,0,1.48
204,-88.20,-99.00,-77.40,100,0,0,0,0.23
205,-76.61,-85.62,-67.60,100,0,0,0,2.02
206,-80.57,-89.94,-71.20,100,0,0,0,0.61
207,-84.94,-99.89,-70.00,100,0,0,0,1.72
208,-87.46,-98.72,-76.20,100,0,0,0,0.45
209,-70.76,-72.93,-68.60,100,0,0,0,0.13
210,-84.94,-99.67,-70.20,100,0,0,0,0.27
211,-76.83,-77.27,-76.40,100,0,0,0,0.27
212,-83.67,-93.15,-74.20,100,0,0,0,1.34
213,-77.67,-80.34,-75.00,100,0,0,0,0.15
214,-78.43,-81.05,-75.80,100,0,0,0,0.00
215,-75.85,-78.11,-73.60,100,0,0,0,0.29
216,-79.66,-91.33,-68.00,100,0,0,0,4.59
217,-75.72,-81.03,-70.40,100,0,0,0,0.66
218,-83.88,-99.76,-68.00,100,0,0,0,1.92
219,-80.74,-97.88,-63.60,100,0,0,0,2.31
220,-80.36,-84.72,-76.00,100,0,0,0,0.58
221,-76.90,-82.60,-71.20,100,0,0,0,2.07
222,-78.61,-85.63,-71.60,100,0,0,0,1.22
223,-77.63,-91.25,-64.00,100,0,0,0,2.85
224,-86.25,-96.70,-75.80,100,0,0,0,0.98
225,-73.64,-76.07,-71.20,100,0,0,0,0.71
226,-83.51,-93.82,-73.20,100,0,0,0,1.19
227,-71.34,-65.87,-76.80,100,0,0,0,0.13
228,-85.38,-99.16,-71.60,100,0,0,0,1.52
229,-88.86,-98.12,-79.60,100,0,0,0,0.14
230,-82.21,-86.02,-78.40,100,0,0,0,0.68
231,-66.77,-59.54,-74.00,100,0,0,0,0.06
232,-83.52,-98.04,-69.00,100,0,0,0,0.58
233,-81.64,-99.48,-63.80,100,0,0,0,1.25
234,-82.88,-98.77,-67.00,100,0,0,0,1.60
235,-83.05,-89.29,-76.80,100,0,0,0,0.75
236,-82.19,-91.57,-72.80,100,0,0,0,0.89
237,-87.47,-93.75,-81.20,100,0,0,0,0.62
238,-72.85,-73.90,-71.80,100,0,0,0,0.90
239,-88.39,-97.37,-79.40,100,0,0,0,0.22
240,-85.14,-99.68,-70.60,100,0,0,0,1.05
241,-81.95,-88.50,-75.40,100,0,0,0,1.79
242,-77.77,-89.94,-65.60,100,0,0,0,1.56
243,-85.28,-95.37,-75.20,100,0,0,0,0.63
244,-80.63,-93.87,-67.40,100,0,0,0,2.10
245,-76.50,-83.00,-70.00,100,0,0,0,1.15
246,-70.64,-61.08,-80.20,100,0,0,0,0.00
247,-80.20,-84.61,-75.80,100,0,0,0,1.76
248,-80.64,-96.28,-65.00,100,0,0,0,1.84
249,-84.46,-99.12,-69.80,100,0,0,0,1.66
250,-77.56,-78.93,-76.20,100,0,0,0,0.66
251,-74.34,-77.08,-71.60,100,0,0,0,0.14
252,-72.89,-73.57,-72.20,100,0,0,0,0.98
253,-76.06,-80.32,-71.80,100,0,0,0,0.02
254,-89.59,-97.38,-81.80,100,0,0,0,0.05
255,-79.17,-93.74,-64.60,100,0,0,0,4.18
256,-85.16,-99.73,-70.60,100,0,0,0,2.05
257,-77.06,-72.73,-81.40,100,0,0,0,0.00
258,-81.41,-94.22,-68.60,100,0,0,0,0.52
259,-83.46,-98.52,-68.40,100,0,0,0,1.93
260,-78.45,-90.31,-66.60,100,0,0,0,2.74
261,-82.70,-90.80,-74.60,100,0,0,0,0.18
262,-75.32,-86.03,-64.60,100,0,0,0,2.53
263,-70.40,-61.99,-78.80,100,0,0,0,0.00
264,-86.07,-99.53,-72.60,100,0,0,0,1.82
265,-72.77,-79.13,-66.40,100,0,0,0,2.87
266,-79.27,-85.73,-72.80,100,0,0,0,0.35
267,-75.38,-73.55,-77.20,100,0,0,0,0.08
268,-82.16,-95.72,-68.60,100,0,0,0,3.47
269,-83.70,-89.40,-78.00,100,0,0,0,0.11
270,-83.74,-99.28,-68.20,100,0,0,0,4.94
271,-79.50,-87.40,-71.60,100,0,0,0,2.01
272,-84.30,-90.60,-78.00,100,0,0,0,0.15
273,-73.46,-73.91,-73.00,100,0,0,0,0.43
274,-84.44,-92.68,-76.20,100,0,0,0,0.11
275,-82.54,-95.67,-69.40,100,0,0,0,1.10
276,-83.66,-99.52,-67.80,100,0,0,0,1.25
277,-74.84,-82.29,-67.40,100,0,0,0,2.83
278,-82.95,-90.71,-75.20,100,0,0,0,0.28
279,-83.91,-96.41,-71.40,100,0,0,0,3.18
280,-87.01,-96.82,-77.20,100,0,0,0,0.41
281,-77.98,-95.16,-60.80,100,0,0,0,4.43
282,-75.76,-76.53,-75.00,100,0,0,0,0.35
283,-76.69,-78.38,-75.00,100,0,0,0,0.02
284,-68.86,-66.33,-71.40,100,0,0,0,0.06
285,-73.93,-78.25,-69.60,100,0,0,0,1.59
286,-80.06,-89.52,-70.60,100,0,0,0,0.93
287,-82.39,-96.98,-67.80,100,0,0,0,1.81
288,-80.73,-95.46,-66.00,100,0,0,0,2.20
289,-86.83,-98.47,-75.20,100,0,0,0,0.37
290,-80.92,-99.45,-62.40,100,0,0,0,4.10
291,-78.59,-82.98,-74.20,100,0,0,0,0.27
292,-88.48,-99.57,-77.40,100,0,0,0,0.19
293,-74.67,-80.94,-68.40,100,0,0,0,1.41
294,-77.04,-75.68,-78.40,100,0,0,0,0.15
295,-76.65,-82.90,-70.40,100,0,0,0,1.12
296,-78.88,-86.76,-71.00,100,0,0,0,0.12
297,-76.85,-85.50,-68.20,100,0,0,0,0.48
298,-82.58,-95.15,-70.00,100,0,0,0,1.49
299,-86.05,-94.30,-77.80,100,0,0,0,0.41
300,-86.98,-97.96,-76.00,100,0,0,0,0.26
301,-76.74,-89.47,-64.00,100,0,0,0,2.68
302,-77.53,-88.06,-67.00,100,0,0,0,0.67
303,-75.95,-76.69,-75.20,100,0,0,0,0.23
304,-82.37,-89.75,-75.00,100,0,0,0,0.01
305,-77.36,-81.12,-73.60,100,0,0,0,1.24
306,-78.56,-86.91,-70.20,100,0,0,0,0.03
307,-86.30,-99.61,-73.00,100,0,0,0,0.44
308,-85.69,-90.38,-81.00,100,0,0,0,0.22
309,-77.74,-86.48,-69.00,100,0,0,0,2.73
310,-86.43,-99.06,-73.80,100,0,0,0,0.59
311,-77.27,-79.14,-75.40,100,0,0,0,1.06
312,-86.76,-97.72,-75.80,100,0,0,0,0.37
313,-83.24,-95.09,-71.40,100,0,0,0,0.70
314,-76.32,-83.44,-69.20,100,0,0,0,0.44
315,-83.85,-98.29,-69.40,100,0,0,0,1.06
316,-74.43,-76.07,-72.80,100,0,0,0,0.11
317,-85.85,-97.70,-74.00,100,0,0,0,0.65
318,-83.27,-97.14,-69.40,100,0,0,0,2.20
319,-85.34,-95.49,-75.20,100,0,0,0,0.27
320,-74.91,-73.43,-76.40,100,0,0,0,0.26
321,-68.42,-68.85,-68.00,100,0,0,0,0.43
322,-82.50,-93.80,-71.20,100,0,0,0,4.26
323,-82.00,-95.21,-68.80,100,0,0,0,0.77
324,-83.78,-96.37,-71.20,100,0,0,0,1.56
325,-79.18,-81.57,-76.80,100,0,0,0,0.01
326,-85.63,-95.06,-76.20,100,0,0,0,0.55
327,-84.48,-99.56,-69.40,100,0,0,0,2.08
328,-77.78,-83.57,-72.00,100,0,0,0,0.13
329,-77.87,-85.54,-70.20,100,0,0,0,1.91
330,-77.65,-85.50,-69.80,100,0,0,0,2.59
331,-82.37,-95.75,-69.00,100,0,0,0,1.37
332,-87.09,-97.38,-76.80,100,0,0,0,0.80
333,-78.88,-83.15,-74.60,100,0,0,0,0.36
334,-86.77,-99.55,-74.00,100,0,0,0,1.39
335,-84.46,-98.72,-70.20,100,0,0,0,2.22
336,-83.51,-99.01,-68.00,100,0,0,0,0.82
337,-80.09,-84.38,-75.80,100,0,0,0,0.82
338,-83.16,-92.72,-73.60,100,0,0,0,0.53
339,-80.17,-80.54,-79.80,100,0,0,0,0.02
340,-80.58,-84.96,-76.20,100,0,0,0,0.45
341,-83.43,-96.25,-70.60,100,0,0,0,1.35
342,-85.17,-96.74,-73.60,100,0,0,0,0.64
343,-80.15,-99.10,-61.20,100,0,0,0,7.31
344,-76.32,-76.45,-76.20,100,0,0,0,0.24
345,-83.20,-97.21,-69.20,100,0,0,0,1.90
346,-80.40,-85.40,-75.40,100,0,0,0,0.31
347,-87.46,-99.72,-75.20,100,0,0,0,0.37
348,-82.87,-96.53,-69.20,100,0,0,0,1.20
349,-86.32,-99.45,-73.20,100,0,0,0,0.85
350,-79.35,-92.30,-66.40,100,0,0,0,1.83
351,-85.29,-90.78,-79.80,100,0,0,0,0.02
352,-80.49,-88.98,-72.00,100,0,0,0,0.08
353,-84.88,-97.76,-72.00,100,0,0,0,0.39
354,-83.90,-97.41,-70.40,100,0,0,0,2.23
355,-80.18,-87.96,-72.40,100,0,0,0,0.87
356,-72.14,-74.47,-69.80,100,0,0,0,0.75
357,-68.12,-64.25,-72.00,100,0,0,0,0.00
358,-80.36,-83.52,-77.20,100,0,0,0,0.32
359,-78.99,-80.57,-77.40,100,0,0,0,0.10
360,-83.44,-94.47,-72.40,100,0,0,0,0.10
361,-73.35,-70.11,-76.60,100,0,0,0,0.08
362,-87.75,-99.69,-75.80,100,0,0,0,0.50
363,-79.14,-88.07,-70.20,100,0,0,0,0.91
364,-76.81,-87.42,-66.20,100,0,0,0,0.80
365,-73.26,-75.12,-71.40,100,0,0,0,0.14
366,-87.74,-99.89,-75.60,100,0,0,0,2.15
367,-73.31,-70.82,-75.80,100,0,0,0,0.16
368,-80.74,-96.28,-65.20,100,0,0,0,0.79
369,-83.83,-97.07,-70.60,100,0,0,0,0.91
370,-82.61,-92.42,-72.80,100,0,0,0,0.74
371,-83.05,-96.50,-69.60,100,0,0,0,1.47
372,-84.06,-93.12,-75.00,100,0,0,0,0.06
373,-72.46,-74.91,-70.00,100,0,0,0,0.01
374,-82.51,-83.21,-81.80,100,0,0,0,0.27
375,-74.02,-71.05,-77.00,100,0,0,0,0.12
376,-86.86,-98.32,-75.40,100,0,0,0,0.81
377,-80.80,-90.81,-70.80,100,0,0,0,0.66
378,-77.65,-83.29,-72.00,100,0,0,0,1.57
379,-85.17,-99.34,-71.00,100,0,0,0,1.63
380,-76.82,-79.45,-74.20,100,0,0,0,0.38
381,-90.75,-99.69,-81.80,100,0,0,0,0.15
382,-85.74,-96.68,-74.80,100,0,0,0,0.64
383,-80.10,-86.39,-73.80,100,0,0,0,0.09
384,-78.34,-92.08,-64.60,100,0,0,0,2.74
385,-85.30,-99.60,-71.00,100,0,0,0,3.25
386,-77.87,-81.13,-74.60,100,0,0,0,0.33
387,-86.26,-99.53,-73.00,100,0,0,0,0.87
388,-79.14,-87.89,-70.40,100,0,0,0,0.23
389,-85.20,-97.20,-73.20,100,0,0,0,2.10
390,-75.80,-78.80,-72.80,100,0,0,0,0.88
391,-85.66,-98.92,-72.40,100,0,0,0,0.38
392,-85.37,-99.75,-71.00,100,0,0,0,1.15
393,-86.96,-98.13,-75.80,100,0,0,0,0.15
394,-81.62,-89.44,-73.80,100,0,0,0,0.01
395,-78.37,-87.74,-69.00,100,0,0,0,2.17
396,-86.23,-99.06,-73.40,100,0,0,0,1.21
397,-88.84,-98.88,-78.80,100,0,0,0,0.02
398,-75.60,-81.00,-70.20,100,0,0,0,0.58
399,-71.63,-70.67,-72.60,100,0,0,0,0.18
400,-79.09,-83.98,-74.20,100,0,0,0,0.15
401,-86.65,-90.70,-82.60,100,0,0,0,0.42
402,-84.22,-87.04,-81.40,100,0,0,0,0.03
403,-80.61,-96.02,-65.20,100,0,0,0,5.28
404,-85.46,-97.13,-73.80,100,0,0,0,0.28
405,-76.11,-83.42,-68.80,100,0,0,0,1.95
406,-75.88,-87.17,-64.60,100,0,0,0,1.85
407,-74.65,-77.70,-71.60,100,0,0,0,0.86
408,-85.00,-95.81,-74.20,100,0,0,0,2.02
409,-80.43,-84.87,-76.00,100,0,0,0,0.45
410,-85.31,-98.62,-72.00,100,0,0,0,0.35
411,-87.10,-98.81,-75.40,100,0,0,0,0.53
412,-81.66,-93.93,-69.40,100,0,0,0,2.06
413,-86.41,-98.62,-74.20,100,0,0,0,0.35
414,-76.25,-85.09,-67.40,100,0,0,0,1.12
415,-82.78,-95.37,-70.20,100,0,0,0,0.39
416,-82.68,-92.76,-72.60,100,0,0,0,0.47
417,-81.84,-99.29,-64.40,100,0,0,0,3.27
418,-76.44,-83.89,-69.00,100,0,0,0,0.74
419,-83.55,-99.29,-67.80,100,0,0,0,1.44
420,-75.36,-84.31,-66.40,100,0,0,0,3.16
421,-82.92,-92.84,-73.00,100,0,0,0,1.95
422,-78.81,-93.42,-64.20,100,0,0,0,3.85
423,-85.41,-97.22,-73.60,100,0,0,0,0.03
424,-78.47,-82.14,-74.80,100,0,0,0,0.42
425,-81.71,-90.22,-73.20,100,0,0,0,0.28
426,-76.63,-84.65,-68.60,100,0,0,0,0.63
427,-86.51,-99.83,-73.20,100,0,0,0,0.97
428,-77.70,-89.19,-66.20,100,0,0,0,2.37
429,-81.54,-90.49,-72.60,100,0,0,0,0.46
430,-76.08,-77.95,-74.20,100,0,0,0,0.64
431,-81.23,-94.25,-68.20,100,0,0,0,0.82
432,-85.80,-99.61,-72.00,100,0,0,0,0.09
433,-79.26,-83.52,-75.00,100,0,0,0,0.02
434,-77.13,-74.87,-79.40,100,0,0,0,0.19
435,-80.05,-89.09,-71.00,100,0,0,0,0.70
436,-88.42,-96.64,-80.20,100,0,0,0,0.00
437,-82.87,-97.93,-67.80,100,0,0,0,2.37
438,-79.40,-88.60,-70.20,100,0,0,0,0.46
439,-75.79,-80.38,-71.20,100,0,0,0,1.31
440,-84.89,-93.39,-76.40,100,0,0,0,0.21
441,-83.74,-96.68,-70.80,100,0,0,0,1.01
442,-79.64,-84.48,-74.80,100,0,0,0,0.23
443,-80.45,-88.91,-72.00,100,0,0,0,0.87
444,-79.99,-85.59,-74.40,100,0,0,0,1.17
445,-84.43,-95.26,-73.60,100,0,0,0,0.24
446,-80.16,-86.72,-73.60,100,0,0,0,0.31
447,-87.03,-99.47,-74.60,100,0,0,0,1.20
448,-81.38,-91.17,-71.60,100,0,0,0,0.30
449,-84.41,-99.22,-69.60,100,0,0,0,0.87
450,-87.42,-99.24,-75.60,100,0,0,0,0.39
451,-76.18,-86.75,-65.60,100,0,0,0,1.11
452,-85.49,-98.98,-72.00,100,0,0,0,2.11
453,-77.98,-90.55,-65.40,100,0,0,0,4.10
454,-70.35,-68.30,-72.40,100,0,0,0,0.08
455,-84.95,-99.29,-70.60,100,0,0,0,0.58
456,-80.25,-87.10,-73.40,100,0,0,0,0.90
457,-80.98,-91.76,-70.20,100,0,0,0,2.46
458,-79.75,-87.31,-72.20,100,0,0,0,0.49
459,-81.28,-99.77,-62.80,100,0,0,0,3.57
460,-83.10,-90.21,-76.00,100,0,0,0,0.25
461,-74.00,-78.00,-70.00,100,0,0,0,0.70
462,-83.10,-94.41,-71.80,100,0,0,0,1.14
463,-83.84,-96.68,-71.00,100,0,0,0,3.36
464,-85.68,-98.76,-72.60,100,0,0,0,0.21
465,-77.59,-84.99,-70.20,100,0,0,0,0.54
466,-84.98,-95.15,-74.80,100,0,0,0,0.36
467,-86.94,-96.69,-77.20,100,0,0,0,0.85
468,-88.29,-97.77,-78.80,100,0,0,0,0.58
469,-87.39,-99.17,-75.60,100,0,0,0,0.69
470,-80.94,-88.48,-73.40,100,0,0,0,0.65
471,-87.81,-99.21,-76.40,100,0,0,0,0.57
472,-82.31,-99.81,-64.80,100,0,0,0,3.51
473,-83.89,-91.57,-76.20,100,0,0,0,0.18
474,-85.69,-97.79,-73.60,100,0,0,0,0.60
475,-75.82,-74.44,-77.20,100,0,0,0,0.32
476,-82.56,-94.92,-70.20,100,0,0,0,2.95
477,-86.22,-99.45,-73.00,100,0,0,0,0.44
478,-81.21,-94.23,-68.20,100,0,0,0,0.09
479,-74.54,-78.07,-71.00,100,0,0,0,0.21
